query,label
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id='617';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
SELECT * FROM users WHERE id='' OR 1=1--';,attack
DELETE FROM sessions WHERE session_id='715';,benign
"UPDATE products SET price=' UNION SELECT NULL, version(), NULL -- WHERE id='{}';",attack
"SELECT name, email FROM customers WHERE email='935';",benign
"SELECT name, email FROM customers WHERE email='672';",benign
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
"SELECT name, email FROM customers WHERE email='443';",benign
DELETE FROM sessions WHERE session_id='627';,benign
"SELECT name, email FROM customers WHERE email=''; EXEC xp_cmdshell('dir'); --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; DROP TABLE users; --', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
UPDATE products SET price=211 WHERE id='403';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('412', '842', 542);",benign
"SELECT name, email FROM customers WHERE email='961';",benign
UPDATE products SET price=181 WHERE id='863';,benign
"SELECT name, email FROM customers WHERE email='' OR '1'='1';",attack
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('988', '345', 991);",benign
"SELECT name, email FROM customers WHERE email='' UNION SELECT NULL, version(), NULL --';",attack
DELETE FROM sessions WHERE session_id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
"SELECT name, email FROM customers WHERE email='847';",benign
DELETE FROM sessions WHERE session_id=''; EXEC xp_cmdshell('dir'); --';,attack
UPDATE products SET price=38 WHERE id='271';,benign
DELETE FROM sessions WHERE session_id='842';,benign
"SELECT name, email FROM customers WHERE email='652';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; DROP TABLE users; --', '{}', {});",attack
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' UNION SELECT NULL, version(), NULL --', '{}', {});",attack
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
"SELECT name, email FROM customers WHERE email='562';",benign
"SELECT name, email FROM customers WHERE email='174';",benign
DELETE FROM sessions WHERE session_id='' OR 1=1--';,attack
UPDATE products SET price=591 WHERE id='83';,benign
SELECT * FROM users WHERE id='' OR 1=1--';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('262', '608', 730);",benign
SELECT * FROM users WHERE id='970';,benign
"SELECT name, email FROM customers WHERE email='179';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
"SELECT name, email FROM customers WHERE email='' UNION SELECT NULL, version(), NULL --';",attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
SELECT * FROM users WHERE id='99';,benign
"SELECT name, email FROM customers WHERE email='143';",benign
"DELETE FROM sessions WHERE session_id='' UNION SELECT NULL, version(), NULL --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' AND 1=(SELECT COUNT(*) FROM tab); --', '{}', {});",attack
SELECT * FROM users WHERE id='' OR '1'='1';,attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email=''; EXEC xp_cmdshell('dir'); --';",attack
SELECT * FROM users WHERE id=''; EXEC xp_cmdshell('dir'); --';,attack
SELECT * FROM users WHERE id='366';,benign
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
"UPDATE products SET price=' UNION SELECT NULL, version(), NULL -- WHERE id='{}';",attack
